player,position,club,championship
Gareth Bale,FW,Los Angeles FC,
Gavi,MF,Barcelona,
Gaël Ondoua,MF,Hannover 96,
Georges-Kévin N'Koudou,FW,Beşiktaş,
Germán Pezzella,DF,Betis,
Gerson Torres,MF,Club Sport Herediano,
Ghaylène Chaalali,MF,Espérance de Tunis,
Gideon Mensah,DF,Auxerre,
Gio Reyna,FW,Dortmund,
Giorgian De Arrascaeta,MF,Flamengo,Brasileiro Serie A
Gleison Bremer,DF,Juventus,
Gonzalo Montiel,DF,Sevilla,
Gonzalo Plata,MF,Valladolid,
Gonçalo Ramos,FW,Benfica,
Granit Xhaka,MF,Arsenal,
Gregor Kobel,GK,Dortmund,
Grzegorz Krychowiak,MF,Al-Shabab,
Guido Rodríguez,MF,Betis,
Guillermo Ochoa,GK,América,
Guillermo Varela,DF,Flamengo,Brasileiro Serie A
Haji Wright,FW,Antalyaspor,
Hakim Ziyech,FW,Chelsea,
Hannibal Mejbri,MF,Birmingham City,
Haris Seferović,FW,Galatasaray,
Harry Kane,FW,Tottenham,
Harry Maguire,DF,Manchester Utd,
Harry Souttar,DF,Stoke City,
Harry Wilson,MF,Fulham,
Hassan Al Tambakti,DF,Al-Shabab,
Hassan Al-Haydos,MF,Al Sadd SC,
Hattan Bahebri,MF,Al-Shabab,
Henry Martín,FW,América,
Hernán Galíndez,GK,SD Aucas,
Hidemasa Morita,MF,Sporting CP,Liga Portugal Bwin
Hiroki Ito,DF,Stuttgart,
Hiroki Sakai,MF,Urawa Reds,
Hirving Lozano,FW,Napoli,
Homam Ahmed,DF,Al-Gharafa Sports Club,
Hong Chul,DF,Daegu,
Hossein Hosseini,GK,Esteghlal,
Hossein Kanaanizadegan,DF,Al Ahli SC,
Hugo Lloris,GK,Tottenham,
Hwang Hee-chan,MF,Wolves,
Hwang In-beom,MF,Olympiacos,
Hwang Ui-jo,FW,Olympiacos,
Héctor Herrera,MF,Houston Dynamo,
Héctor Moreno,DF,Monterrey,
Ibrahima Konaté,DF,Liverpool,Primera División
Idrissa Gana Gueye,MF,Everton,
Ilias Chair,MF,QPR,
Iliman Ndiaye,FW,Sheffield Utd,
Ismail Jakobs,DF,Monaco,
Ismail Mohamad,FW,Al Duhail SC,
Ismaila Sarr,FW,Watford,
Ismaël Koné,MF,CF Montréal,
Issam Jebali,FW,Odense,
Ivan Ilić,MF,Hellas Verona,
Ivan Perišić,FW,Tottenham,
Iñaki Williams,FW,Athletic Club,
Jack Grealish,FW,Manchester City,Premier League
Jackson Irvine,MF,St. Pauli,
Jackson Porozo,DF,Troyes,
Jakub Kamiński,MF,Wolfsburg,
Jakub Kiwior,DF,Spezia,
Jamal Musiala,MF,Bayern Munich,Bundesliga
Jamie Maclaren,FW,Melb City,
Jan Bednarek,DF,Aston Villa,Premier League
Jan Vertonghen,DF,Anderlecht,
Jason Cummings,FW,Central Coast,
Jawad El Yamiq,DF,Valladolid,
Jean-Charles Castelletto,DF,Nantes,
Jeong Woo-yeong,MF,Freiburg,
Jeremy Doku,MF,Rennes,
Jeremy Sarmiento,MF,Brighton,
Jerome Ngom Mbekeli,MF,Colombe Sportive du Dja et Lobo,
Jesper Lindstrøm,MF,Eint Frankfurt,
Jesús Ferreira,FW,FC Dallas,
Jesús Gallardo,DF,Monterrey,
Jewison Bennette,MF,Sunderland,
Jhegson Méndez,MF,Los Angeles FC,
Joachim Andersen,DF,Crystal Palace,Premier League
Joakim Mæhle,DF,Atalanta,
Joe Allen,MF,Swansea City,
Joe Morrell,MF,Portsmouth,
Joe Rodon,DF,Rennes,
Joel Campbell,FW,León,
Johan Venegas,FW,Liga Deportiva Alajuelense,
John Stones,DF,Manchester City,Premier League
Jonas Hofmann,FW,M'Gladbach,
Jonathan David,FW,Lille,
Jonathan Osorio,MF,Toronto FC,
Jordan Ayew,FW,Crystal Palace,Premier League
Jordan Henderson,MF,Liverpool,Primera División
Jordan Morris,FW,Seattle,
Jordan Pickford,GK,Everton,
Jordan Veretout,MF,Marseille,
Jordi Alba,DF,Barcelona,
Jorge Eduardo Sánchez,DF,Ajax,
Josh Sargent,FW,Norwich City,Premier League
Joshua Kimmich,MF,Bayern Munich,Bundesliga
Josip Juranović,DF,Celtic,
Josip Stanišić,DF,Bayern Munich,Bundesliga
Josip Šutalo,DF,Dinamo Zagreb,Prva Liga
José Cifuentes,MF,Los Angeles FC,
José María Giménez,DF,Atlético Madrid,
João Cancelo,DF,Manchester City,Premier League
João Félix,FW,Atlético Madrid,
João Mário,FW,Benfica,
João Palhinha,MF,Fulham,
Joško Gvardiol,DF,RB Leipzig,Bundesliga
Juan Foyth,DF,Villarreal,
Juan Pablo Vargas,DF,Millonarios,
Jude Bellingham,MF,Dortmund,
Jules Koundé,DF,Barcelona,
Julián Álvarez,FW,Manchester City,Premier League
Jung Woo-young,MF,Al Sadd SC,
Junior Hoilett,FW,Reading,
Junya Ito,MF,Reims,
Jurriën Timber,DF,Ajax,
Kai Havertz,FW,Chelsea,
Kalidou Koulibaly,DF,Chelsea,
Kalvin Phillips,MF,Manchester City,Premier League
Kamal Miller,DF,CF Montréal,
Kamaldeen Sulemana,FW,Rennes,
Kamil Glik,DF,Benevento,
Kamil Grosicki,MF,Pogoń Szczecin,
Kaoru Mitoma,MF,Brighton,
Karim Ansarifard,FW,AC Omonia,
Karim Boudiaf,MF,Al Duhail SC,
Karl Toko Ekambi,FW,Lyon,
Karol Świderski,FW,Charlotte,
Kasper Dolberg,FW,Sevilla,
Kasper Schmeichel,GK,Nice,
Keanu Baccus,MF,St Mirren,
Kellyn Acosta,MF,Los Angeles FC,
Kendall Waston,DF,Deportivo Saprissa,
Kenneth Taylor,MF,Ajax,
Kevin De Bruyne,FW,Manchester City,Premier League
Kevin Rodríguez,FW,,
Kevin Álvarez,DF,Pachuca,
Keylor Navas,GK,Paris S-G,
Keysher Fuller,DF,Club Sport Herediano,
Kieffer Moore,FW,Bournemouth,
Kieran Trippier,DF,Newcastle Utd,
Kim Jin-su,DF,Jeonbuk,
Kim Min-jae,DF,Napoli,
Kim Moonhwan,DF,Jeonbuk,
Kim Seung-gyu,GK,Al-Shabab,
Kim Young-gwon,DF,Ulsan Hyundai,
Kingsley Coman,FW,Bayern Munich,Bundesliga
Ko Itakura,DF,M'Gladbach,
Koke,MF,Atlético Madrid,
Kristijan Jakić,FW,Eint Frankfurt,
Krystian Bielik,MF,Derby County,
Krzysztof Piątek,FW,Salernitana,
Krépin Diatta,FW,Monaco,
Kudus Mohammed,FW,Ajax,
Kwon Chang-hoon,FW,Sangju Sangmu,
Kwon Kyung-won,DF,Gamba Osaka,
Kye Rowles,DF,Hearts,
Kyle Walker,DF,Manchester City,Premier League
Kylian Mbappé,FW,Paris S-G,
Lautaro Martínez,FW,Inter,
Lawrence Ati-Zigi,GK,St. Gallen,
Leander Dendoncker,DF,Aston Villa,Premier League
Leandro Paredes,MF,Juventus,
Leandro Trossard,FW,Brighton,
Lee Jae-sung,MF,Mainz 05,
Lee Kangin,MF,Mallorca,
Leon Goretzka,MF,Bayern Munich,Bundesliga
Leroy Sané,FW,Bayern Munich,Bundesliga
Liam Millar,DF,Basel,
Lionel Messi,FW,Paris S-G,
Lisandro Martínez,DF,Manchester Utd,
Lovro Majer,MF,Rennes,
Loïs Openda,FW,Lens,
Lucas Cavallini,FW,Vancouver,
Lucas Hernández,DF,Bayern Munich,Bundesliga
Lucas Paquetá,MF,West Ham,
Luis Chávez,MF,Pachuca,
Luis Suárez,FW,Nacional,Primera División
Luka Jović,FW,Fiorentina,
Luka Modrić,MF,Real Madrid,Liga
Lukas Klostermann,DF,RB Leipzig,Bundesliga
Luke Shaw,DF,Manchester Utd,
Luuk de Jong,FW,PSV Eindhoven,Eredivisie 
Majid Hosseini,DF,Kayserispor,
Manuel Akanji,DF,Manchester City,Premier League
Manuel Neuer,GK,Bayern Munich,Bundesliga
Marcelo Brozović,MF,Inter,
Marco Asensio,FW,Real Madrid,Liga
Marcos Acuña,DF,Sevilla,
Marcos Llorente,DF,Atlético Madrid,
Marcus Rashford,FW,Manchester Utd,
Marcus Thuram,FW,M'Gladbach,
Mario Götze,MF,Eint Frankfurt,
Mario Pašalić,FW,Atalanta,
Mark-Anthony Kaye,MF,Toronto FC,
Marko Grujić,MF,Porto,
Marko Livaja,FW,Hajduk Split,
Marquinhos,DF,Paris S-G,
Marten de Roon,MF,Atalanta,
Martin Braithwaite,FW,Espanyol,
Martin Hongla,MF,Hellas Verona,
Martinelli,FW,Arsenal,
Martín Cáceres,DF,LA Galaxy,
Mason Mount,MF,Chelsea,
Mateo Kovačić,MF,Chelsea,
Matheus Nunes,MF,Wolves,
Mathew Leckie,MF,Melb City,
Mathew Ryan,GK,FC Copenhagen,
Mathias Jensen,MF,Brentford,
Mathías Olivera,DF,Napoli,
Matt Turner,GK,Arsenal,
Matthias Ginter,DF,Freiburg,
Matthijs de Ligt,DF,Bayern Munich,Bundesliga
Matty Cash,DF,Aston Villa,Premier League
Mattéo Guendouzi,FW,Marseille,
Matías Vecino,MF,Lazio,
Matías Viña,DF,Roma,
Maxi Gómez,FW,Trabzonspor,
Maya Yoshida,DF,Schalke 04,
Mehdi Taremi,FW,Porto,
Mehdi Torabi,MF,Persepolis,
Memphis,FW,Barcelona,
Meshaal Barsham,GK,Al Sadd SC,
