player,position,team,club,championship
Richarlison,FW,Brazil,Tottenham,Premier League
Rodrigo De Paul,MF,Argentina,Atlético Madrid,Liga
Rodrygo,MF,Brazil,Real Madrid,Liga
Romain Saïss,DF,Morocco,Beşiktaş,
Rúben Dias,DF,Portugal,Manchester City,Premier League
Rúben Neves,MF,Portugal,Wolves,
Selim Amallah,MF,Morocco,Standard Liège,
Sofiane Boufal,FW,Morocco,Angers,Ligue 1
Sofyan Amrabat,MF,Morocco,Fiorentina,
Steve Mandanda,GK,France,Rennes,
Steven Berghuis,MF,Netherlands,Ajax,Eredivisie 
Steven Bergwijn,FW,Netherlands,Ajax,Eredivisie 
Teun Koopmeiners,MF,Netherlands,Atalanta,
Theo Hernández,DF,France,Milan,Serie A
Thiago Almada,MF,Argentina,Atlanta Utd,
Thiago Silva,DF,Brazil,Chelsea,Premier League
Trent Alexander-Arnold,DF,England,Liverpool,Premier League
Trent Alexander-Arnold,DF,England,Liverpool,Primera División
Vincent Janssen,FW,Netherlands,Antwerp,Jupiler Pro League
Vinicius Júnior,FW,Brazil,Real Madrid,Liga
Virgil van Dijk,DF,Netherlands,Liverpool,Premier League
Virgil van Dijk,DF,Netherlands,Liverpool,Primera División
Vitinha,MF,Portugal,Paris S-G,Ligue 1
Walid Cheddira,FW,Morocco,Bari,
William Carvalho,MF,Portugal,Betis,
William Saliba,DF,France,Arsenal,Premier League
William Saliba,DF,France,Arsenal,Primera División
Wout Weghorst,FW,Netherlands,Beşiktaş,
Wéverton,GK,Brazil,Palmeiras,Brasileiro Serie A
Xavi Simons,FW,Netherlands,PSV Eindhoven,Eredivisie 
Yahya Attiat Allah,DF,Morocco,Wydad Casablanca,
Yahya Jabrane,MF,Morocco,Wydad Casablanca,
Yassine Bounou,GK,Morocco,Sevilla,Liga
Youssef En-Nesyri,FW,Morocco,Sevilla,Liga
Youssouf Fofana,MF,France,Monaco,Ligue 1
Zakaria Aboukhlal,FW,Morocco,Toulouse,Ligue 1
Ángel Correa,MF,Argentina,Atlético Madrid,Liga
Ángel Di María,MF,Argentina,Juventus,Serie A
Éder Militão,DF,Brazil,Real Madrid,Liga
